model,dataset_size,dataset,fold,carte_lr_idx,test_score,best_val_loss,Created
CARTE 🗺️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,2,1.0,0.8802130647737059,"[-0.879342257976532,-0.8585101366043091,-0.869001030921936,-0.8016821146011353,-0.7786208987236023]",2025-04-25T21:05:46.000Z
CARTE 🗺️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,1,1.0,0.8889006204706138,"[-0.8790019154548645,-0.8746183514595032,-0.7784366011619568,-0.8786285519599915,-0.8749874234199524]",2025-04-25T21:05:41.000Z
CARTE 🗺️,10000,MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW,0,1.0,0.8736047318253085,"[-0.7784586548805237,-0.8651792407035828,-0.8664989471435547,-0.8754575848579407,-0.8744179010391235]",2025-04-25T21:03:52.000Z
CARTE 🗺️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,3,1.0,0.8702539128317659,"[-0.8834520578384399,-0.8695411682128906,-0.8733521699905396,-0.8972392678260803,-0.8798013925552368]",2025-04-25T20:48:58.000Z
CARTE 🗺️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,2,1.0,0.8627187124934482,"[-0.8777242302894592,-0.8799753189086914,-0.8780219554901123,-0.8794749975204468,-0.8689262866973877]",2025-04-25T20:48:11.000Z
CARTE 🗺️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,1,1.0,0.875420754774827,"[-0.8662329912185669,-0.8856315016746521,-0.894711971282959,-0.8707919120788574,-0.8690490126609802]",2025-04-25T20:38:01.000Z
CARTE 🗺️,10000,MUL_CONSUMER_PRODUCT_SENTIMENT,0,1.0,0.8918104717647626,"[-0.8760974407196045,-0.8770691752433777,-0.9083319306373596,-0.8716949820518494,-0.8592290282249451]",2025-04-25T20:37:29.000Z
CARTE 🗺️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,3,1.0,0.6960441726200127,"[-0.7094117484727124,-0.716036031685254,-0.6761799468539541,-0.6647159469183457,-0.6919708306168137]",2025-04-25T20:19:36.000Z
CARTE 🗺️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,2,1.0,0.7108726323160615,"[-0.6953439142488206,-0.7173945789193484,-0.7091035887954061,-0.7006671427043771,-0.69631611203674]",2025-04-25T20:12:38.000Z
CARTE 🗺️,10000,BIN_PROFESSIONAL_KICKSTARTER_FUNDING,1,1.0,0.7101183310163866,"[-0.7098797372363826,-0.6844513895356793,-0.6821557149247021,-0.6922243724408661,-0.7062784084702517]",2025-04-25T20:10:16.000Z
